cycle,Product ID,L1 Category,OLD,NEW,New-Old RL Qty,#Hub OOS karena WH,# New Hub OOS,Improvement in Hub OOS #,Verdict can we reduce oos potential?,Verdict can we mitigate oos?
1,34,,0,0,0,85,85,0,No,
1,36,Tata Rumah,160,160,0,8,8,0,No,
1,70,,13,13,0,2,2,0,No,
1,116,Alat Kesehatan,0,0,0,38,38,0,No,
1,152,Bahan Masak & Bumbu,0,0,0,2,2,0,No,
1,153,Makanan & Susu Bayi,0,0,0,12,12,0,No,
1,166,Kebutuhan Cuci Baju,96,24,-72,1,4,3,No,
1,178,Kebutuhan Cuci Baju,0,24,24,29,0,-29,100.00%,Yes
1,191,Makanan & Susu Bayi,0,24,24,6,0,-6,100.00%,Yes
1,209,Obat-obatan,72,96,24,11,9,-2,33.33%,
1,228,Obat-obatan,204,360,156,42,24,-18,76.47%,
1,234,Sarapan,0,48,48,20,0,-20,100.00%,Yes
1,258,Perawatan Mulut,144,144,0,10,10,0,No,
1,259,Vitamin,30,70,40,4,2,-2,133.33%,
1,295,Kebutuhan Cuci Baju,348,312,-36,1,2,1,No,
1,307,Kebersihan Badan,120,120,0,24,24,0,No,
1,352,Snack,0,100,100,12,0,-12,100.00%,Yes
1,356,Bahan Masak & Bumbu,17,17,0,2,2,0,No,
1,365,Biskuit,128,208,80,14,9,-5,62.50%,
1,399,Tepung & Bahan Kue,0,0,0,119,119,0,No,
1,418,Alat Kesehatan,0,0,0,77,77,0,No,
1,458,Sarapan,0,0,0,36,36,0,No,
1,520,Perawatan Mulut,408,360,-48,18,21,3,No,
1,551,Kebutuhan Ibu & Bayi,0,0,0,11,11,0,No,
1,561,,110,180,70,19,12,-7,63.64%,
1,567,Alat Kesehatan,72,72,0,4,4,0,No,
1,569,Bahan Masak & Bumbu,264,1080,816,150,37,-113,309.09%,
1,584,Kebutuhan Ibu & Bayi,0,0,0,7,7,0,No,
1,618,Minuman,0,0,0,40,40,0,No,
1,625,Biskuit,54,144,90,73,28,-45,166.67%,
