Final Reason,Date Key,% OOS Contribution
Lost Stock,14 Feb 2025,0.01700651847
Add Listing Hub,14 Feb 2025,0.0007451668617
Late Open PO,14 Feb 2025,0.0005362415733
PO Deleted,14 Feb 2025,0.002124073765
Demand Fluctuation,14 Feb 2025,0.001413727784
Sourceback,14 Feb 2025,0.001657473954
RL Deleted,14 Feb 2025,0.0006685609226
Kurang Order,14 Feb 2025,0.0001183909967
Late Req Inb Date,14 Feb 2025,0.0008217728007
Late Campaign Submission,14 Feb 2025,0.00006964176277
Demand Fluctuation,13 Feb 2025,0.001561519693
Kurang Order,13 Feb 2025,0.0003206692227
Lost Stock,13 Feb 2025,0.01430463576
Late Open PO,13 Feb 2025,0.0005228302544
Add Listing Hub,13 Feb 2025,0.000711049146
RL Deleted,13 Feb 2025,0.0005437434646
PO Deleted,13 Feb 2025,0.0009968630185
Late Req Inb Date,13 Feb 2025,0.001519693273
Sourceback,13 Feb 2025,0.00119902405
Lost Stock,17 Feb 2025,0.02023761995
Add Listing Hub,17 Feb 2025,0.001128901249
Sourceback,17 Feb 2025,0.001789721492
Demand Fluctuation,17 Feb 2025,0.002877321475
Late Open PO,17 Feb 2025,0.000413012652
PO Deleted,17 Feb 2025,0.0008948607459
Late Campaign Submission,17 Feb 2025,0.0005024987265
Late Req Inb Date,17 Feb 2025,0.002037529083
Kurang Order,17 Feb 2025,0.0005024987265
RL Deleted,17 Feb 2025,0.0000206506326
Lost Stock,12 Feb 2025,0.01518955473
PO Deleted,12 Feb 2025,0.0008881553642
Demand Fluctuation,12 Feb 2025,0.002132971544
Sourceback,12 Feb 2025,0.001405663214
Late Open PO,12 Feb 2025,0.0006713615352
Add Listing Hub,12 Feb 2025,0.0006084213913
RL Deleted,12 Feb 2025,0.0009021420629
Late Req Inb Date,12 Feb 2025,0.001286776276
Kurang Order,12 Feb 2025,0.0004405810075
Lost Stock,16 Feb 2025,0.01674823575
Demand Fluctuation,16 Feb 2025,0.00213512277
Add Listing Hub,16 Feb 2025,0.000866527098
Sourceback,16 Feb 2025,0.001802376364
PO Deleted,16 Feb 2025,0.0009497136994
Late Open PO,16 Feb 2025,0.0003674074896
RL Deleted,16 Feb 2025,0.0007001538952
Kurang Order,16 Feb 2025,0.0007209505456
Late Req Inb Date,16 Feb 2025,0.001192341287
Late Campaign Submission,16 Feb 2025,0.00004159330071
Lost Stock,15 Feb 2025,0.014636933
Add Listing Hub,15 Feb 2025,0.0006896984137
PO Deleted,15 Feb 2025,0.0009753310901
Demand Fluctuation,15 Feb 2025,0.00173469601
Sourceback,15 Feb 2025,0.002013362036
Late Open PO,15 Feb 2025,0.0006827317631
RL Deleted,15 Feb 2025,0.0007245316669
Late Req Inb Date,15 Feb 2025,0.0009544311381
Kurang Order,15 Feb 2025,0.0001323663622
